time,S_su,S_aa,S_fa,S_va,S_bu,S_pro,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_cation,S_anion,q_ad,T,S_H_ion,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_co2,S_nh3,S_nh4_ion,S_gas_h2,S_gas_ch4,S_gas_co2
81,88.13414244,13.5431782,4.136914564,0.104918835,0.178754809,0.415409194,1.678958171,0,0,0,0.019309813,-56.4835967,0,553.2315935,85.01261659,25.96805021,0,0,0,0,0,0,0,-349.3594149,0,0,138.29,314.3,0,0,0,0,0,0,0,0,0,0,0,0
82,78.50147628,11.59059597,3.082543782,0.087968636,0.144774367,0.372414322,1.43738332,0,0,0,0.015880918,-47.90856279,0,500.7697696,73.9377187,19.66389439,0,0,0,0,0,0,0,-301.2571772,0,0,228.01,314.2,0,0,0,0,0,0,0,0,0,0,0,0
83,78.61751051,11.6167038,3.1012738,0.08820837,0.145200405,0.372789488,1.441669821,0,0,0,0.015953703,-48.0018292,0,501.4558479,74.09626708,19.7812405,0,0,0,0,0,0,0,-301.8056878,0,0,224.63,314.25,0,0,0,0,0,0,0,0,0,0,0,0
84,78.22159902,11.54188992,3.075441946,0.086812312,0.142455202,0.367950921,1.433972241,0,0,0,0.015897744,-47.65456542,0,499.7587761,73.74127932,19.64903712,0,0,0,0,0,0,0,-300.1197616,0,0,222.29,314.1,0,0,0,0,0,0,0,0,0,0,0,0
85,78.23703624,11.57435347,3.11008586,0.088145836,0.144593251,0.371239412,1.449120643,0,0,0,0.016067001,-47.50535916,0,499.404962,73.88175518,19.85239198,0,0,0,0,0,0,0,-298.8680511,0,0,221.65,314.05,0,0,0,0,0,0,0,0,0,0,0,0
86,78.29430181,11.56195236,3.079439991,0.087818259,0.144294018,0.371488523,1.438590784,0,0,0,0.015902051,-47.66572963,0,499.6562394,73.78572262,19.65227826,0,0,0,0,0,0,0,-299.8404726,0,0,225.6,313.95,0,0,0,0,0,0,0,0,0,0,0,0
87,88.98046953,13.65178187,4.079053851,0.109542382,0.187676878,0.434855122,1.666924117,0,0,0,0.018832131,-57.45571292,0,555.4827145,85.22464415,25.46450831,0,0,0,0,0,0,0,-353.5046715,0,0,132.36,314.1,0,0,0,0,0,0,0,0,0,0,0,0
88,89.43758412,13.78913697,4.260995319,0.11067086,0.18844294,0.431848544,1.69831856,0,0,0,0.019597386,-57.810744,0,559.8190796,86.31071646,26.67096278,0,0,0,0,0,0,0,-356.5745637,0,0,102.92,314.1,0,0,0,0,0,0,0,0,0,0,0,0
89,78.57955948,11.60822429,3.097146259,0.0880531,0.144911626,0.372318795,1.440259508,0,0,0,0.015939763,-47.97520198,0,501.2948823,74.05416204,19.75810987,0,0,0,0,0,0,0,-301.6889619,0,0,225.04,313.95,0,0,0,0,0,0,0,0,0,0,0,0
90,78.69111843,11.62970265,3.098833892,0.088587943,0.146010486,0.374476637,1.442771684,0,0,0,0.015929169,-48.05710082,0,501.5841137,74.12874811,19.75223993,0,0,0,0,0,0,0,-301.9483728,0,0,222.07,313.95,0,0,0,0,0,0,0,0,0,0,0,0
